,Area,BHK,Bathroom,Locality,Price
0,800.0,3,2.0,Rohini Sector 25,6500000
1,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000
2,950.0,2,2.0,"Citizen Apartment, Rohini Sector 13",15500000
3,600.0,2,2.0,Rohini Sector 24,4200000
4,650.0,2,2.0,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",6200000
5,1300.0,4,3.0,Rohini Sector 24,15500000
6,1350.0,4,3.0,Rohini Sector 24,10000000
7,650.0,2,2.0,"Delhi Homes, Rohini Sector 24",4000000
8,985.0,3,3.0,Rohini Sector 21,6800000
9,1300.0,4,4.0,Rohini Sector 22,15000000
10,1100.0,3,2.0,Rohini Sector 20,6200000
11,870.0,3,2.0,Rohini Sector 25,7700000
12,630.0,2,2.0,Rohini Sector 24,5500000
13,660.0,2,2.0,Rohini Sector 24,5000000
14,344.4448,2,2.0,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,3310000
15,660.0,2,2.0,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",4700000
16,550.0,2,2.0,Rohini Sector 22,4500000
17,1100.0,4,3.0,Rohini Sector 16,17000000
18,1150.0,3,3.0,Rohini Sector 14,25000000
19,650.0,2,2.0,Rohini Sector 24,6000000
20,850.0,2,2.0,"Mayur Apartment, Rohini Sector 9",11000000
21,900.0,3,2.0,"Vijay Vihar, Rohini",4500000
22,430.556,1,1.0,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",5300000
23,900.0,2,2.0,"Prashant Vihar, Rohini",10500000
24,914.9315,2,2.0,Rohini Sector 5,12000000
25,1100.0,3,3.0,Rohini Sector 20,7000000
26,800.0,3,2.0,Rohini Sector 25,7000000
27,500.0,1,1.0,"Sanskriti Apartment, Rohini Sector 28",3400000
28,28.0,2,2.0,Rohini Sector 25,5000000
29,2160.0,4,4.0,Rohini Sector 19,21000000
31,800.0,2,2.0,Lajpat Nagar 1,15000000
32,900.0,2,2.0,Lajpat Nagar,10500000
33,1080.0,3,2.0,"Vikram Vihar, Lajpat Nagar",22500000
34,750.0,2,2.0,Lajpat Nagar 4,13600000
35,1450.0,3,3.0,Lajpat Nagar 3,30000000
36,900.0,2,2.0,Lajpat Nagar,13500000
37,810.0,2,2.0,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",8910000
38,1350.0,3,4.0,Lajpat Nagar,25000000
39,1710.0,3,3.0,Lajpat Nagar 2,26000000
40,1650.0,3,3.0,Lajpat Nagar,30000000
41,1280.0,2,2.0,Lajpat Nagar,12500000
42,1260.0,3,3.0,Lajpat Nagar 3,21000000
43,1130.0,2,2.0,Lajpat Nagar 4,7800000
44,600.0,2,2.0,"Amar Colony, Lajpat Nagar",11500000
45,850.0,2,2.0,Lajpat Nagar 1,11500000
46,1500.0,3,3.0,Lajpat Nagar 2,26000000
47,900.0,2,2.0,"Amar Colony, Lajpat Nagar",13000000
48,1000.0,3,3.0,"Vikram Vihar, Lajpat Nagar",22000000
49,900.0,2,2.0,Lajpat Nagar 2,15800000
50,2925.0,4,4.0,Lajpat Nagar 3,57500000
51,900.0,2,2.0,Lajpat Nagar 1,10000000
52,1600.0,3,3.0,Lajpat Nagar 3,30000000
53,1143.0,3,3.0,"Vikram Vihar, Lajpat Nagar",22000000
54,1150.0,3,3.0,"Vikram Vihar, Lajpat Nagar",24000000
55,1500.0,3,3.0,Lajpat Nagar 3,31500000
56,850.0,2,2.0,Lajpat Nagar 2,14600000
57,8000.0,4,5.0,Lajpat Nagar,240000000
58,890.0,2,2.0,Lajpat Nagar 1,8300000
59,1100.0,3,3.0,"Vikram Vihar, Lajpat Nagar",22500000
60,750.0,1,1.0,"DDA Flats Sector 14, Dwarka Sector 14",4600000
61,850.0,2,1.0,"Siddhartha Heights, Dwarka Sector 24",1900000
62,1350.0,3,2.0,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000
63,1387.0,4,4.0,"Delhi Homes Yojana, Dwarka Sector 24",5890000
64,1050.0,3,2.0,"The Elite Spire, Dwarka Sector 21",3700000
65,1500.0,3,2.0,"Kunj Vihar Apartment, Dwarka Sector 12",17400000
66,1200.0,3,3.0,"Ashirwad Apartments, Dwarka Sector 12",15500000
67,700.0,2,1.0,"MTNL Employees House Welfare Society, Dwarka Sector 24",2400000
68,1700.0,3,2.0,"Sunny Valley Apartments, Dwarka",17200000
69,1550.0,3,2.0,"Shri Agrasen Apartment, Dwarka Sector 7",14200000
70,1400.0,3,3.0,"Chopra Apartment, Dwarka Sector 23",13500000
71,1900.0,4,4.0,"Mohinder Apartments, Dwarka Sector 12",30000000
72,2160.0,4,3.0,"Chander Lok Apartment, Dwarka Sector 19",21000000
73,1700.0,4,3.0,"Neelachal, Dwarka Sector 5",20500000
74,1850.0,3,4.0,Dwarka,24000000
75,1800.0,4,2.0,"MeeraBai Apartment, Dwarka Sector 5",16500000
76,1620.0,3,2.0,"Crescent Apartments, Dwarka Sector 18",14900000
